name,alternateName,sowInstructions,spaceInstructions,harvestInstructions,compatiblePlants,otherInstruction,culinaryHints,culinaryPreservation,url,image
Kohlrabi,,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 46°F and 86°F. ,Space plants: 4 - 10 inches apart,Harvest in 7-10 weeks.,"Beets, celery, cucumber, onions, marigold, nasturtium, rhubarb, aromatic herbs (sage, dill, chamomile)","Avoid growing close to: Climbing (pole) beans, tomato, peppers (chilli, capsicum), eggplant (aubergine), strawberry, mustard","Use when young. Scrub well, cut off leaf stalks, roots and woody parts. Young ones do not need peeling. Can be grated raw for salads or cut in pieces and steam. Use in casseroles.",,http://gardenate.com/plant/Kohlrabi,http://gardenate.com/image/132/thumb/150/150
Leeks,,"Easy to grow. Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 46°F and 86°F. ",Space plants: 4 - 8 inches apart,Harvest in 15-18 weeks. Loosen with a fork rather than pull by hand..,Carrots,,"Trim off the roots and any damaged leaves. Young ones can be used whole with some of the green leaves. Wash thoroughly as the earth tends to get inside. Chop and fry in butter (or olive oil) until tender. Can be added to casserole meals, allowing time to cook through. Leek and mushroom make a tasty combination for a tart filling.",,http://gardenate.com/plant/Leeks,http://gardenate.com/image/41/thumb/150/150
Lemon Balm,Sweet balm,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50°F and 77°F. ,Space plants: 10 inches apart,Harvest in 8-10 weeks. Cut back tall stems to prevent flowering.,,Good to attract bees,"As a herb tea or added to fruit punch. Can be used to replace lemon, used sparingly, in desserts and with stewed fruit. Chop leaves into salad. Better used fresh than dried.",,http://gardenate.com/plant/Lemon%2BBalm,http://gardenate.com/image/49/thumb/150/150
Lettuce,,"Easy to grow. Sow in garden, or start in seed trays and plant out in 4-6 weeks.. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 8°C and 27°C. (Show °F/in)",Space plants: 20 - 30 cm apart,Harvest in 8-12 weeks.,"Carrots, Onions, Strawberries, Beets, Brassicas, Radish, Marigold, Borage, Chervil, Florence fennel, leeks.","Avoid growing close to: Parsley, Celery","Wash well, spin or shake dry and use in salads and sandwiches",,http://gardenate.com/plant/Lettuce,http://gardenate.com/image/31/thumb/150/150
Luffa,"Loofah, plant sponge","Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 68°F and 86°F. ",Space plants: 18 - 30 inches apart,Harvest in 11-12 weeks. Use as a back scratcher.,"Peas, Beans, Onions, Sweetcorn",Avoid growing close to: Potatoes,The luffa flowers and fruits are soft and edible when young and are sometimes cooked and eaten like squash or okra. Loofah has been an important food source in many Asian cultures. The leaves and vines should not be eaten.,,http://gardenate.com/plant/Luffa,http://gardenate.com/image/133/thumb/150/150
Marrow,,"Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 68°F and 95°F. ",Space plants: 35 - 47 inches apart,Harvest in 12-17 weeks.,"Peas, Beans, Onions, Sweetcorn",Avoid growing close to: Potatoes,"Good, cut in thick slices, seeds removed and stuffed with mince or spicy vegetable mix then baked in the oven",,http://gardenate.com/plant/Marrow,http://gardenate.com/image/134/thumb/150/150
Mint,Garden mint,Easy to grow. Grow in trays and plant out or start from cuttings. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 70°F and 75°F. ,Space plants: 12 inches apart,Harvest in 8-12 weeks. Cut leaves from top with scissors.,"Cabbages, Tomatoes",,Mint adds a fresh flavour if chopped and sprinkled over salads. And is traditionally used mixed with vinegar and sugar to make mint sauce for lamb.,,http://gardenate.com/plant/Mint,http://gardenate.com/image/135/thumb/150/150
Mizuna,"Japanese Greens, Mitzuna, Mibuna",Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50°F and 86°F. ,Space plants: 6 - 8 inches apart,Harvest in 35-50 days.,"Radish, lettuce",,"Leaves used raw, stir-fried, in soups. Young flowering stems can be cooked like broccoli.",,http://gardenate.com/plant/Mizuna,http://gardenate.com/image/136/thumb/150/150
Mustard greens,Gai choy,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50°F and 95°F. ,Space plants: 14 - 24 inches apart,Harvest in 5-8 weeks.,"Dwarf (bush) beans, beets, celery, cucumber, onions, marigold, nasturtium, rhubarb, aromatic herbs (sage, dill, camomile)","Avoid growing close to: Climbing (pole) beans, tomato, peppers (chilli, capsicum), eggplant (aubergine), strawberry",Use young leaves in salad for a 'spicy kick'. Add to stir fry.,,http://gardenate.com/plant/Mustard%2Bgreens,http://gardenate.com/image/96/thumb/150/150
Okra,"Ladyfinger, gumbo","Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 68°F and 95°F. ",Space plants: 14 - 24 inches apart,Harvest in 11-14 weeks.,"Peppers (Capsicum, Chili), Eggplant (Aubergine)",,Use pods fresh or dried in soups or casseroles or as a boiled vegetable.,,http://gardenate.com/plant/Okra,http://gardenate.com/image/138/thumb/150/150
Onion,,"Easy to grow. Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 46°F and 86°F. ",Space plants: 2 - 4 inches apart,Harvest in 25-34 weeks. Allow onions to dry before storing.,"Lemon Balm, Borage, Carrots, Beets, Silverbeet, Lettuce, Amaranth","Avoid growing close to: Peas, Beans",Brown onions roasted whole with other vegetables are delicious. Red onions add colour to salads or stir-fry.,,http://gardenate.com/plant/Onion,http://gardenate.com/image/115/thumb/150/150
Oregano,Pot Marjoram,"Sow in garden, or start in seed trays. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 64°F and 77°F. ",Space plants: 6 inches apart,Harvest in 6-8 weeks. When flowers appear.,Broccoli,,"Used to flavour tomato dishes, soups, sauces and Greek dishes like moussaka",,http://gardenate.com/plant/Oregano,http://gardenate.com/image/57/thumb/150/150
Pak Choy,Pak choi,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 70°F and 86°F. ,Space plants: 12 - 16 inches apart,Harvest in 6-11 weeks.,"Dwarf (bush) beans, beets, celery, cucumber, onions, marigold, nasturtium, rhubarb, aromatic herbs (sage, dill, chamomile, coriander), lettuce, potatoes","Avoid growing close to: Climbing (pole) beans, tomato, peppers (chili, capsicum), eggplant (aubergine), strawberry, mustard","You can treat Pak Choy as ""cut and come again "" or use the whole plant in one go, whichever suits your needs.",,http://gardenate.com/plant/Pak%2BChoy,http://gardenate.com/image/121/thumb/150/150
Parsley,Curly leaf parsley or flat leaf (Italian) parsley,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50°F and 86°F. ,Space plants: 8 - 12 inches apart,Harvest in 9-19 weeks. Cut stalks from outer part of plant.,"Carrots, Chives, Tomatoes, Asparagus",Avoid growing close to: Potatoes,"Use the leaves and stems to add flavour and colour. Can be cooked in dishes such as ratatouille, Traditionally used in white sauce.",,http://gardenate.com/plant/Parsley,http://gardenate.com/image/36/thumb/150/150
Parsnip,,Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 43°F and 70°F. ,Space plants: 3 - 4 inches apart,Harvest in 17-20 weeks. Best flavour if harvested after a frost..,"Swiss Chard (Silverbeet), Capsicum, Peas, Potatoes, Beans, Radishes, Garlic","Avoid growing close to: Carrot, Celery, Brassicas",Peel and roast with vegetables or meat. The sweetish flavour of parsnips enhances most other vegetables.,,http://gardenate.com/plant/Parsnip,http://gardenate.com/image/60/thumb/150/150
Peas,,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 8°C and 24°C. (Show °F/in),Space plants: 5 - 8 cm apart,Harvest in 9-11 weeks. Pick the pods every day to increase production.,Potatoes,,Raw straight from the pod in the garden is best! Raw in salads. Steamed lightly. Small pods can be steamed whole.,,http://gardenate.com/plant/Peas,http://gardenate.com/image/94/thumb/150/150
Potato,,Plant tuber. Best planted at soil temperatures between 50°F and 86°F. ,Space plants: 12 - 16 inches apart,"Harvest in 15-20 weeks. Dig carefully, avoid damaging the potatoes.","Peas, Beans, Brassicas, Sweetcorn, Broad Beans, Nasturtiums, Marigolds","Avoid growing close to: Cucumber, Pumpkin, Sunflowers, Tomatoes, Rosemary","Peeled or unpeeled and scrubbed, potatoes can be boiled, baked, fried and roasted. - The only way they are not used is raw. Keep in a pot of cold water after peeling, otherwise they will discolour.",,http://gardenate.com/plant/Potato,http://gardenate.com/image/151/thumb/150/150
Pumpkin,,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 68°F and 90°F. ,Space plants: 35 - 47 inches apart,Harvest in 15-20 weeks.,Sweet Corn,Avoid growing close to: Potatoes,"Cut up, remove the skin and roast with other vegetables or meat. Young crisp shoots with young leaves can be cooked and eaten - stewed in coconut milk they are popular in Melanesia. Remove any strings and tough parts and stew until tender, or cook as a vegetable in boiling water 3-5 minutes.",,http://gardenate.com/plant/Pumpkin,http://gardenate.com/image/140/thumb/150/150
Radish,,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 46°F and 86°F. ,Space plants: 1 - 2 inches apart,Harvest in 5-7 weeks.,"Chervil, cress,lettuce, leeks, spinach, strawberries, tomatoes","Avoid growing close to: Hyssop, gherkins",Wash well and remove leaves and roots. Use raw in salads or on their own with bread and butter.,,http://gardenate.com/plant/Radish,http://gardenate.com/image/117/thumb/150/150
Rhubarb,,Easy to grow. Plant pieces of rhizome or roots 8 - 10 cm (3 - 4 in.) deep. Best planted at soil temperatures between 41°F and 68°F. ,Space plants: 35 inches apart,Harvest in approximately 1 years. You will have a stronger plant if you leave it for about a year before using..,"Brassicas (Cabbage, Broccoli, Cauliflower, etc)",,"Pick stems about the thickness of your finger. Large stems will have tough 'strings' down the length of them. Use in pies, crumbles, fools and jams. Rhubarb goes well with orange. Will usually need sweetener.",,http://gardenate.com/plant/Rhubarb,http://gardenate.com/image/141/thumb/150/150
Rocket,Arugula/Rucola,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50°F and 77°F. ,Space plants: 6 - 8 inches apart,Harvest in 21-35 days.,Lettuce,,Use in salads and stir-fry,,http://gardenate.com/plant/Rocket,http://gardenate.com/image/164/thumb/150/150
Rockmelon,Canteloupe,"Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 68°F and 90°F. ",Space plants: 16 - 24 inches apart,Harvest in 10-16 weeks.,"Sweetcorn, Sunflowers",Avoid growing close to: Potatoes,Cut in half and scoop out and discard the seeds. Sprinkle with some ground ginger or serve plain.,,http://gardenate.com/plant/Rockmelon,http://gardenate.com/image/153/thumb/150/150
Rosella,"Queensland Jam Plant, Roselle","Sow in garden, or start in seed trays. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 20°C and 35°C. (Show °F/in)",Space plants: 140 cm apart,Harvest in 21-25 weeks.,"Feverfew, Coriander, Nasturtium and Hyssop",,"The large flowers produce a crimson enlarged calyx. Use the fleshy red calyx, without the green seed pod to make jam or jelly.",,http://gardenate.com/plant/Rosella,http://gardenate.com/image/108/thumb/150/150
Rosemary,,Easy to grow. Plant cuttings . Best planted at soil temperatures between 59°F and 68°F. ,Space plants: 39 - 59 inches apart,"Harvest in approximately 1 years. In warmer areas, harvest time might be shorter.","Beans, Carrots, Cabbages, Sage",Avoid growing close to: Potatoes,"Leaves sprinkled on roast potatoes, meat and barbeque food make them extra tasty. Rosemary can also be used to add flavour to vinegars and oils.",,http://gardenate.com/plant/Rosemary,http://gardenate.com/image/44/thumb/150/150
Rutabaga,Swedes,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 45°F and 77°F. ,Space plants: 4 - 8 inches apart,Harvest in 10-14 weeks.,"Peas, Beans, Chives",Avoid growing close to: Potatoes,Use when about the size of a tennis ball. The leaves can be cooked like cabbage when young.,,http://gardenate.com/plant/Rutabaga,
Sage,Common Sage,Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50°F and 77°F. ,Space plants: 20 inches apart,Harvest in approximately 18 months. Time reduced if grown from cuttings.,"Broccoli, Cauliflower, Rosemary, Cabbage and Carrots",,The leaves are used to flavour stuffing and meat dishes. Sage keeps well if dried.,,http://gardenate.com/plant/Sage,http://gardenate.com/image/3/thumb/150/150
Salsify,Vegetable oyster,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50°F and 86°F. ,Space plants: 6 - 8 inches apart,Harvest in 14-21 weeks.,"Beans, Brassicas, Carrots, Celeriac, Endive, Kohl-rabi, Leeks, Lettuce, Alliums, Spinach",,Wash and scrape the roots then boil before frying or roasting. They can also be used to make a creamed soup.,,http://gardenate.com/plant/Salsify,http://gardenate.com/image/142/thumb/150/150
Savory - summer savory,Bean Herb,Easy to grow. Sow in Garden. Lightly cover.. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 64°F and 86°F. ,Space plants: 10 inches apart,Harvest in 6-10 weeks. Cut before flowers form for best flavour.,"Beans, Onions",,"Usually added to peas, beans or lentils. It has a slightly spicy flavour.",,http://gardenate.com/plant/Savory%2B-%2Bsummer%2Bsavory,
Savory - winter savory,Savory,Easy to grow. Start in trays. Cover seed lightly.. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 64°F and 86°F. ,Space plants: 12 - 16 inches apart,Harvest in 6-10 weeks. Use the leaves fresh..,Beans,,Can be used as seasoning for beans and other green vegetables.,,http://gardenate.com/plant/Savory%2B-%2Bwinter%2Bsavory,http://gardenate.com/image/110/thumb/150/150
Shallots,Eschalots,"Easy to grow. Plant small bulblets, with stem just showing above ground. Best planted at soil temperatures between 46°F and 86°F. ",Space plants: 6 - 8 inches apart,Harvest in 12-15 weeks. Keep a few for your next planting.,"Lemon Balm, Borage, Carrots, Beets, Silverbeet, Lettuce, Amaranth","Avoid growing close to: Peas, Beans","Use in any recipe instead of onions. Can be cooked whole, braised gently with other vegetables.",Can be pickled.,http://gardenate.com/plant/Shallots,
Silverbeet,Swiss Chard or Mangold,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50°F and 86°F. ,Space plants: 6 - 12 inches apart,Harvest in 7-12 weeks.,"Beans, brassica sp. (cabbage, cauliflower, etc), tomato, allium sp. (onion, garlic, chives), lavender, parsnip","Avoid growing close to: Corn, melon, cucurbit (cucumbers, squash, melons, gourds), most herbs, potato.",Wash thoroughly and inspect the back of the leaves for insects. Chop and put in a saucepan with very little water ( or just what is on the leaves). Cover and cook over a low to medium heat until the leaves collapse. A small amount of nutmeg enhances the flavour.,,http://gardenate.com/plant/Silverbeet,http://gardenate.com/image/98/thumb/150/150
Snow Peas,"Sugar Peas, Mangetout, Chinese Peas",Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 46°F and 68°F. ,Space plants: 3 - 4 inches apart,Harvest in 12-14 weeks.,"Carrots, Endive, Florence fennel, Winter lettuce, Brassicas.","Avoid growing close to: Chives, Alliums, Tomatoes",Cook whole or eat raw in salads,,http://gardenate.com/plant/Snow%2BPeas,
Spinach,English spinach,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50°F and 77°F. ,Space plants: 8 - 12 inches apart,Harvest in 5-11 weeks.,"Broad beans (fava), cabbage, cauliflower, celery, eggplant (aubergine), onion, peas, strawberry, santolina",,Use young leaves in salad. Steam and add to other vegetables.,,http://gardenate.com/plant/Spinach,http://gardenate.com/image/87/thumb/150/150
Spring onions,"Scallions, Bunching onions, Welsh onion",Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50°F and 68°F. ,Space plants: close together,Harvest in 8-12 weeks.,"Lemon Balm, Borage, Carrots, Beets, Silverbeet, Lettuce, Amaranth","Avoid growing close to: Peas, Beans",Can be eaten raw in salads. Often used chopped and sprinkled on Asian stir-fry.,,http://gardenate.com/plant/Spring%2Bonions,http://gardenate.com/image/143/thumb/150/150
Squash,"Crookneck, Pattypan, Summer squash","Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 70°F and 95°F. ",Space plants: 24 - 31 inches apart,Harvest in 7-8 weeks.,Sweet corn,,Use whole or sliced. Steam or fry.,,http://gardenate.com/plant/Squash,http://gardenate.com/image/64/thumb/150/150
Strawberries (from seeds),,Start inside in pots or trays after chilling seeds.. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50°F and 68°F. ,Space plants: 12 - 39 inches apart,Harvest in approximately 1 years. Seedlings need to grow for about a year before fruiting. Remove first flowers. .,,"Avoid growing close to: If you are using rotation beds, avoid putting strawberries where you have grown tomatoes, potatoes, peppers or eggplant, Better in a bed on their own to allow good sun and air circulation","Strawberries can be used in any dessert needing soft fruit or berries. Summer pudding with raspberries and blackberries or boysenberries, mousse, trifle, dipped in melted chocolate or just with cream. Sprinkle a bowl of strawberries with balsamic vinegar and a little sugar to enhance the flavour and colour.Straight from the garden, warmed by the sun is best.",,http://gardenate.com/plant/Strawberries%2B(from%2Bseeds),http://gardenate.com/image/152/thumb/150/150
Strawberry Plants,,Easy to grow. Plant with crown (of roots) just covered.. Best planted at soil temperatures between 50°F and 68°F. ,Space plants: 12 - 39 inches apart,"Harvest in approximately 11 weeks. Strawberries bruise easily when ripe, handle carefully. Pick with a small piece of stem attached..",,"Avoid growing close to: If you are using rotation beds, avoid putting strawberries where you have grown tomatoes, potatoes, peppers or eggplant. Better in a bed on their own to allow good sun and air circulation","Pick strawberries and eat them straight from the garden - warm from the sunshine, delicious! Strawberries can be used in any dessert needing soft fruit or berries. Summer pudding which also has raspberries and blackberries or boysenberries, mousse, trifle, dipped in melted chocolate or just with cream. Sprinkle a bowl of strawberries with balsamic vinegar and a little sugar to enhance the flavour and colour.",,http://gardenate.com/plant/Strawberry%2BPlants,http://gardenate.com/image/150/thumb/150/150
Sunflower,,Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50°F and 86°F. ,Space plants: 8 - 12 inches apart,Harvest in 10-11 weeks.,"Cucumbers, Melons, Sweetcorn, Squash",Avoid growing close to: Potatoes,Use seeds fresh or toasted,,http://gardenate.com/plant/Sunflower,http://gardenate.com/image/80/thumb/150/150
Sweet corn,Maize,Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 61°F and 95°F. ,Space plants: 8 - 12 inches apart,Harvest in 11-14 weeks.,"Beans, cucumber, melons, peas, pumpkin, squash, amaranth",Avoid growing close to: Celery.,Piick and cook within an hour. Remove the silks and outer leaves. Best flavour if microwave about 4 minutes per cob. Can be barbequed wrapped in foil. Cook large amounts in a stock pot until test soft. Sprinkle with black pepper and dip in butter.,,http://gardenate.com/plant/Sweet%2Bcorn,http://gardenate.com/image/40/thumb/150/150
Sweet Marjoram,Knotted marjoram,"Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50°F and 77°F. ",Space plants: 8 inches apart,Harvest in 8-10 weeks. Best flavour if picked before flowering.,"Peppers (Capsicums, Chilis), Sage,",,"Sweet Marjoram has a mild oregano flavor with a hint of balsam. Sweet Marjoram can be used as a substitute for oregano in sauces for mediterranean style pizza, lasagna, and eggplant parmigiana.",,http://gardenate.com/plant/Sweet%2BMarjoram,
Sweet Potato,Kumara,Plant shoots or cuttings (Slips). Best planted at soil temperatures between 63°F and 95°F. ,Space plants: 16 - 24 inches apart,Harvest in 15-17 weeks.,,Best in Separate bed,"Use mashed, boiled, roasted, baked or fried. Or use in soups, pies, casseroles, curries and salads.",,http://gardenate.com/plant/Sweet%2BPotato,http://gardenate.com/image/48/thumb/150/150
Taro,"Dasheen, cocoyam","Plant small pieces of tuber or suckers, 5-8cm deep. Best planted at soil temperatures between 68°F and 95°F. ",Space plants: 31 inches apart,Harvest in approximately 28 weeks. When the leaves begin to die down. .,,Best in separate bed,"Taro can be cooked like potatoes, boiled, roasted, fried or steamed. It is not eaten raw.",,http://gardenate.com/plant/Taro,http://gardenate.com/image/104/thumb/150/150
Thyme,Common thyme,Grow in seed trays and plant out 6-8 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 59°F and 77°F. ,Space plants: 10 - 12 inches apart,Harvest in 42-52 weeks. Root divisions ready in 3 months.,"Oregano, Sage, Eggplant, Cabbage",Dry-environment herbs,"Common, lemon, orange and caraway thyme are used in cooking. Thyme is mainly used with meat and fish but also tastes good with vegetables such as mushrooms, beans and carrots. The flavour can be very intense so thyme is best used sparingly.",,http://gardenate.com/plant/Thyme,http://gardenate.com/image/162/thumb/150/150
Tomatillo,,"Easy to grow. Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 70°F and 81°F. ",Space plants: 28 inches apart,Harvest in 10-14 weeks. Husk splits when fruit is ripe..,,Will happily grow in a flower border,Use in spicy sauces with or to replace tomatoes. They are the base of salsa verde in Mexican cookery.,,http://gardenate.com/plant/Tomatillo,http://gardenate.com/image/79/thumb/150/150
Tomato,,"Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 61°F and 95°F. ",Space plants: 16 - 24 inches apart,Harvest in 8-17 weeks.,"Asparagus, Chervil,Carrot, Celery, Chives, Parsley, Marigold, Basil","Avoid growing close to: Rosemary, Potatoes, Fennel","Use in sauces, with fried meals, in sandwiches.",Can be frozen whole or in pieces.,http://gardenate.com/plant/Tomato,http://gardenate.com/image/26/thumb/150/150
Turnip,,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 12°C and 30°C. (Show °F/in),Space plants: 12 - 20 cm apart,Harvest in 6-9 weeks.,"Peas, Beans, Chives, Spinach, Carrots, Chicory","Avoid growing close to: Potatoes, Tomatoes",Grate young turnips and use raw in salads. Use older turnips in casseroles and stews.,,http://gardenate.com/plant/Turnip,http://gardenate.com/image/146/thumb/150/150
Watermelon,,"Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 70°F and 95°F. ",Space plants: 24 - 30 inches apart,Harvest in 12-17 weeks.,"Sweetcorn, Sunflowers",Avoid growing close to: Potatoes,Cut up and eat in slices. Use to make fruit drinks. Use in fruit salads.,,http://gardenate.com/plant/Watermelon,http://gardenate.com/image/118/thumb/150/150
Yacon,Sunroot,Easy to grow. Plant sprouting root/tuber to a depth of about 4cm and mulch to cover. Best planted at soil temperatures between 50°F and 77°F. ,Space plants: 39 inches apart,Harvest in approximately 25 weeks. You can collect a few at a time without digging out the whole plant..,,Best in separate bed,"The large roots can be used raw in salads peel and chop. Sprinkle with lemon juice to prevent browning. 'In the Andes, they are grated and squeezed through a cloth to yield a sweet refreshing drink. The juice can also be boiled down to produce a syrup. In South America the juice is concentrated to form dark brown blocks of sugar called chancaca.' (Green Harvest)",,http://gardenate.com/plant/Yacon,http://gardenate.com/image/2/thumb/150/150
Zucchini,"Courgette/Marrow, Summer squash","Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 70°F and 95°F. ",Space plants: 20 - 35 inches apart,Harvest in 6-9 weeks. Cut the fruit often to keep producing.,"Corn, beans, nasturtiums, parsley, Silverbeet, Tomatoes",Avoid growing close to: Potatoes,Zucchini are best picked or cut off the stem at about 15cm / 6 inches.Pick frequently to keep the plant producing new flowers.,,http://gardenate.com/plant/Zucchini,http://gardenate.com/image/28/thumb/150/150